SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.33940757399999993,25,0,0.77254902,993.2,5,0,0,0,0.0
0,0.008514756,25,0,0.602312139,1123.2,6,0,0,0,0.0
0,0.124940022,75,0,5.0,7020.0,7,0,2,0,0.0
0,0.0,40,0,0.360742281,8125.0,10,0,2,0,0.0
0,0.045931764,37,0,0.162889948,72800.0,12,0,4,0,3.0
0,0.22636427639999998,45,0,0.332234239,9855.300000000001,14,0,2,0,2.0
0,0.15251023319999998,67,0,0.433624547,6099.6,8,0,1,0,1.0
1,0.9769183704,68,0,0.183966552,7150.0,16,3,1,0,0.0
0,0.8420757924,77,1,0.153472035,4810.0,3,0,1,1,0.0
0,0.0042826836,43,0,0.386951631,10400.0,11,0,3,0,4.0
0,0.7152185939999999,37,0,0.374125874,6319.3,6,0,1,0,2.0
0,0.5561904108,82,0,0.19462443,5415.8,6,0,0,0,1.0
1,0.9381538956,67,1,0.335591252,6715.8,12,0,3,0,1.0
0,0.06522615,54,0,0.330458693,10400.0,20,0,1,0,2.0
0,0.2070756216,45,0,0.353977876,20800.0,7,0,2,0,0.0
0,0.0389079264,58,0,0.222647486,9848.800000000001,5,0,1,0,0.0
0,0.3310469028,65,1,0.46842193,7800.0,25,0,1,1,0.0
1,1.0276696476,38,0,5.0,7020.0,5,1,0,1,0.0
0,0.4005329784,24,0,0.105094521,4056.0,2,0,0,0,0.0
0,0.04176858,44,0,0.272069465,9880.0,9,0,2,0,3.0
0,0.0008761632000000001,71,0,0.03519648,13000.0,9,0,0,0,1.0
0,0.1441501884,65,0,0.21863819,23615.8,6,0,1,0,0.0
0,0.131145864,40,0,0.135470255,9854.0,8,0,0,0,0.0
0,0.0,40,0,0.5306845,6607.900000000001,8,0,2,0,2.0
0,0.37734366599999997,52,0,0.413644383,6630.0,14,0,1,0,2.0
0,0.4999835304,35,0,0.376032459,8970.0,6,0,2,0,0.0
0,0.08513447279999999,59,0,5.0,7020.0,7,0,0,0,0.0
0,0.0,51,0,0.155461485,39000.0,9,0,2,0,2.0
0,0.9335262659999999,45,0,0.315564598,6388.2,12,0,0,0,0.0
0,0.1870071348,71,0,0.260830926,5850.0,12,0,0,0,0.0
0,0.3763771896,59,0,5.0,7020.0,22,0,2,0,0.0
0,0.0149707152,33,0,0.546141392,14452.1,6,0,4,0,0.0
0,0.36443556479999994,24,0,0.016670097,6315.400000000001,3,0,0,0,0.0
1,1.19999988,57,3,1.203074258,6003.400000000001,10,1,2,1,1.0
0,0.02427519,80,0,5.0,7020.0,9,0,2,0,0.0
0,0.0540583116,55,0,0.566356513,5307.900000000001,18,0,2,0,2.0
0,0.0194139108,49,0,0.590811711,5460.0,9,0,1,0,0.0
0,0.3056734308,52,0,0.16720632,10036.0,11,0,0,0,0.0
0,0.06799782,52,0,0.331466965,8125.0,3,0,1,0,4.0
0,0.350160174,46,0,0.368048323,6240.0,7,0,0,0,0.0
0,0.9549339396,41,0,0.685469475,3640.0,4,0,0,0,0.0
0,0.0165005424,65,0,0.05976149,19402.5,11,0,2,0,1.0
0,0.79549257,47,0,0.427662759,10422.1,9,0,1,0,0.0
0,0.1204414704,51,0,0.474537037,5614.7,9,0,1,0,2.0
0,0.3208423728,50,0,0.420291743,29942.9,46,0,6,0,0.0
0,1.202399904,60,0,1.307692308,6032.0,7,0,1,0,1.0
0,0.0800171832,41,0,0.280271973,13000.0,7,0,1,2,1.0
0,1.19999988,25,0,0.113115553,2665.0,1,0,0,0,0.0
0,0.1175529792,24,0,0.131103422,3380.0,7,0,0,1,0.0
0,0.06334736399999999,56,2,0.006380345,13650.0,4,0,0,0,0.0
0,0.020629942800000002,44,0,0.254491486,8320.0,9,0,1,0,0.0
0,0.5109354396,33,0,1.777477764,8183.5,27,0,5,0,0.0
0,1.19999988,46,1,5.0,7020.0,2,1,0,0,0.0
1,1.19999988,48,1,0.00538358,6760.0,0,1,0,0,0.0
0,0.4244563584,47,0,0.262655377,7215.0,6,0,1,1,0.0
0,0.28993243799999996,45,0,0.477704459,6500.0,10,0,2,0,0.0
0,0.05015498399999999,41,0,0.347327938,16224.0,11,0,2,0,1.0
0,0.6338192724,31,0,1.043982407,3250.0,7,0,2,0,0.0
0,0.0006719736000000001,77,0,5.0,7020.0,7,0,2,0,0.0
0,0.0588251712,65,0,0.313958139,9750.0,4,0,1,0,0.0
0,0.6444046680000001,51,0,0.035261717,79300.0,11,0,1,0,0.0
0,0.0326959128,34,0,0.036792641,6500.0,4,0,0,1,0.0
0,0.076333608,58,0,5.0,7020.0,8,0,2,0,0.0
0,0.2895550032,46,0,0.425415871,14300.0,15,0,3,0,0.0
0,0.0740959932,76,0,0.808135349,10832.9,14,1,3,0,1.0
0,0.0088358952,75,0,0.002999,3900.0,5,0,0,0,0.0
0,0.0925366824,75,0,0.295823398,16900.0,12,0,2,0,1.0
0,0.2133970848,56,0,0.374233129,5720.0,9,0,1,0,2.0
0,0.3125015196,45,0,0.228227258,28165.8,20,0,2,0,3.0
0,0.4055833668,48,0,0.330733463,8665.800000000001,13,0,1,0,0.0
0,0.10442679719999999,80,0,5.0,7020.0,16,0,0,0,0.0
1,0.785227692,45,1,0.548854605,8340.800000000001,17,0,1,1,1.0
0,0.0170365932,28,0,0.153256705,5427.5,4,0,0,0,0.0
1,0.0725002404,52,4,5.0,7020.0,12,1,1,3,2.0
0,0.1240983948,37,0,0.264563512,7787.0,10,0,1,0,3.0
1,1.4352059927999998,33,0,0.078517865,8840.0,5,1,0,0,4.0
0,0.8711118672,37,0,0.248348509,7280.0,4,0,0,0,2.0
0,0.379717674,69,1,5.0,7020.0,10,0,3,0,0.0
0,0.37384523039999995,29,0,5.0,1.3,5,0,0,0,0.0
0,0.0,62,0,0.252803675,9620.0,6,0,2,0,1.0
0,0.1066993248,47,0,0.49607199,9100.0,12,0,2,0,1.0
1,0.13749911639999998,34,0,0.568368672,6007.3,7,0,1,0,0.0
0,0.4867132872,22,0,0.00461361,3380.0,2,0,0,0,1.0
0,1.0283190516,44,0,0.317793932,24677.9,14,0,2,0,3.0
0,0.426780204,39,0,0.537658298,5850.0,14,0,2,0,2.0
0,1.19999988,32,0,0.570649705,2860.0,5,0,0,0,1.0
0,0.0,66,2,5.0,7020.0,19,0,2,0,0.0
0,1.19999988,55,0,0.785217391,5978.7,2,0,1,0,0.0
0,0.0,63,0,5.0,7020.0,8,0,1,0,0.0
0,0.077035992,46,0,1.17989418,2210.0,9,0,1,0,0.0
0,0.0006461039999999999,27,0,1.039215686,993.2,4,0,0,0,0.0
1,0.6484537212,54,0,0.527795128,2080.0,9,0,0,0,1.0
0,0.0,49,0,5.0,7020.0,5,0,0,0,0.0
0,0.19071225479999998,59,0,0.529501916,11874.2,13,0,1,0,1.0
0,0.07589242079999999,69,0,5.0,7020.0,10,0,0,0,0.0
0,1.0202388672,27,0,0.394403731,1950.0,5,0,0,0,0.0
0,0.013540974,77,0,0.00211257,8613.800000000001,5,0,0,0,0.0
0,0.0456506196,60,0,5.0,7020.0,14,0,1,0,0.0
0,0.038884810799999996,73,0,5.0,7020.0,12,0,0,0,0.0
0,0.2830442772,57,0,5.0,7020.0,3,1,0,0,0.0
0,0.9990231096,42,0,0.426631536,6412.900000000001,11,0,2,0,1.0
0,0.014073927600000001,41,0,5.0,7020.0,22,0,1,0,1.0
0,0.015903598799999998,45,0,0.387598387,6770.400000000001,8,0,1,0,1.0
0,0.052057842,60,0,0.412432563,16143.400000000001,14,0,2,0,0.0
0,0.0349839432,65,0,0.066809866,17550.0,4,0,0,0,1.0
0,1.19999988,41,2,0.245691006,4147.0,7,0,1,0,0.0
0,0.0857562408,49,0,5.0,7020.0,13,0,1,0,0.0
0,0.6838061651999999,52,0,0.520457834,9880.0,12,0,2,0,2.0
0,0.9053091792,70,0,5.0,7020.0,6,0,2,0,2.0
0,0.1634785548,48,0,0.437001079,12049.7,23,0,2,0,3.0
0,0.2647990164,77,0,0.033193361,6500.0,4,0,0,0,0.0
0,0.0,35,0,0.194337305,45500.0,13,0,4,0,1.0
0,0.8696220252,42,0,0.309486966,10920.0,6,1,1,0,2.0
0,0.6645948948,42,0,0.178955261,5200.0,3,0,0,1,0.0
0,0.0,55,0,0.44501571,4550.0,3,0,1,0,1.0
0,1.19999988,31,0,0.0,4823.0,0,0,0,0,3.0
0,0.0296092596,49,0,0.017028773,2212.6,3,0,0,0,0.0
1,1.19999988,51,0,5.0,7020.0,1,1,1,0,0.0
0,0.0073521372,40,0,0.246438483,7025.2,10,0,2,0,3.0
0,0.060147042,42,1,0.273399843,11596.0,7,0,1,0,2.0
0,0.33258105359999995,56,0,5.0,7020.0,11,0,1,0,0.0
0,1.1004331884,27,0,0.260782634,4550.0,4,0,0,0,1.0
0,1.19999988,50,0,0.321525496,9100.0,8,0,2,0,4.0
0,0.2653691424,54,0,1.749614283,5896.8,7,0,4,0,4.0
0,0.565344366,72,0,0.414612415,8752.9,12,0,2,0,0.0
0,1.19999988,29,0,0.205196536,1950.0,1,2,0,1,0.0
0,0.0067422563999999996,49,1,0.644393877,6282.900000000001,17,0,2,0,4.0
0,0.0630927036,42,1,0.006855184,4550.0,3,0,0,0,3.0
0,0.2762361564,67,0,0.458194465,8970.0,7,0,2,0,0.0
1,1.19999988,30,98,0.0,439.40000000000003,0,98,0,98,0.0
1,0.018691908,80,0,0.364702673,4764.5,11,0,2,0,1.0
1,0.6587690879999999,55,2,5.0,7020.0,34,0,0,0,0.0
0,0.3604668468,65,1,0.546342271,15707.9,21,0,2,0,1.0
0,1.19999988,76,0,0.0,7020.0,1,0,0,0,0.0
0,0.44132590079999995,68,0,0.47688078,5200.0,9,0,2,0,0.0
0,0.8744019996,31,0,0.304952215,1495.0,5,0,0,0,0.0
0,0.0302253648,47,0,0.124925005,19500.0,6,0,1,0,4.0
0,0.1608895644,44,0,0.445294118,8838.7,13,0,2,0,0.0
0,0.24617850839999997,66,0,0.537347913,8439.6,17,0,2,0,1.0
0,0.46217863919999996,40,0,5.0,7020.0,8,0,3,0,1.0
0,1.02120828,37,1,0.171196501,4160.0,5,3,0,0,0.0
0,0.0,66,0,5.0,7020.0,4,0,0,0,0.0
0,0.030836916,52,0,5.0,7020.0,4,0,0,0,0.0
0,0.83933706,63,1,0.870522511,7910.5,9,0,2,0,1.0
1,0.8463058391999999,75,0,0.552101788,8070.400000000001,10,0,1,0,1.0
1,1.2541559556,57,3,0.420315937,6500.0,5,1,1,2,0.0
0,0.0,39,0,0.0,2600.0,3,0,0,0,0.0
0,0.875197686,59,0,0.080484492,11482.9,4,0,0,0,0.0
0,0.008111502,81,0,5.0,7020.0,6,0,0,0,0.0
0,0.24870215159999998,45,0,0.458492304,9880.0,6,0,3,0,1.0
0,0.08576541119999999,84,0,5.0,7020.0,5,0,0,0,0.0
0,0.015509189999999999,43,1,0.362625139,10517.0,10,1,3,1,1.0
0,0.6576075168,21,0,5.0,7020.0,1,0,0,0,0.0
0,0.0183666912,69,0,5.0,7020.0,16,0,0,0,0.0
0,0.0164597256,84,1,0.00266637,11700.0,5,0,0,0,0.0
0,0.0,36,0,0.1992002,5200.0,3,0,1,0,0.0
0,0.0,36,0,0.909418116,6500.0,11,0,2,0,0.0
0,0.1207969512,63,0,0.011809327,15080.0,9,0,0,0,0.0
0,0.8189277587999999,42,0,0.362479549,7150.0,5,0,1,0,3.0
0,1.19999988,58,0,0.594127807,14300.0,7,0,3,0,1.0
0,0.0039892656,64,0,0.000823433,11050.0,8,0,0,0,0.0
0,0.0,51,0,0.268077002,19110.0,10,0,2,0,3.0
1,0.0,33,0,0.591363455,3250.0,9,0,1,0,0.0
0,0.018120599999999997,56,1,0.238410596,5102.5,9,0,1,0,0.0
0,0.0054654768,59,0,0.393911007,8325.2,10,0,2,0,1.0
0,0.12178531799999999,42,0,1.231340206,3151.2000000000003,16,0,2,0,0.0
0,0.080782194,60,0,0.143010656,14515.800000000001,8,0,1,0,0.0
0,0.222452136,60,2,0.656113788,5665.400000000001,16,0,2,0,0.0
0,0.0,62,0,5.0,7020.0,13,0,0,0,0.0
1,0.3753831816,47,2,5.0,0.0,24,0,2,0,2.0
0,0.15665630760000002,55,1,0.212275035,8450.0,6,0,1,0,2.0
0,0.7212433572,37,0,0.690267292,6370.0,12,0,1,0,2.0
0,0.8127968004,41,1,5.0,7020.0,10,0,0,1,0.0
0,1.19999988,55,0,0.927104163,7150.0,5,0,3,0,2.0
0,1.0222539635999999,40,0,0.04695331,4927.0,2,0,0,0,0.0
0,0.1341758976,44,0,0.193352509,8134.1,9,0,0,0,2.0
0,1.1805662736,37,0,0.385148647,9750.0,11,0,0,0,3.0
0,0.1213257996,53,0,0.022139694,9100.0,3,0,0,0,2.0
0,0.0,41,0,0.063005432,10769.2,5,0,0,0,0.0
1,0.0,91,0,5.0,7020.0,5,1,0,1,0.0
0,0.1575718728,64,0,0.424381573,8775.0,10,0,2,0,0.0
0,0.081858684,85,0,0.241503399,3250.0,8,0,1,0,0.0
0,0.0015999827999999998,34,0,0.059993685,12350.0,7,0,0,0,2.0
0,0.008239450799999999,63,0,0.313720622,15707.9,13,0,1,0,0.0
0,0.1305295644,37,0,0.153956013,4550.0,5,0,0,0,1.0
0,0.5643822251999999,79,2,0.219717853,8015.8,8,0,0,0,1.0
0,0.0472705464,52,0,0.163680982,5296.2,3,0,1,0,1.0
0,0.6019840788,47,0,0.389573991,16233.1,13,0,4,0,0.0
0,0.037679058,61,0,5.0,7020.0,2,0,0,0,0.0
0,0.6309216576,45,0,0.497071847,9100.0,8,0,1,0,1.0
0,1.19999988,40,0,5.0,7020.0,2,0,0,0,0.0
0,0.07068159119999999,75,0,5.0,7020.0,1,0,0,0,0.0
0,0.0225447708,57,0,0.259003082,17290.0,10,0,1,0,0.0
0,0.2284632696,55,0,0.323186313,11700.0,9,0,2,0,0.0
0,0.16865953439999998,30,0,5.0,7020.0,7,0,1,0,0.0
0,0.8705506788,30,0,0.395323741,3612.7000000000003,8,0,0,0,3.0
0,0.049541088,72,0,5.0,7020.0,3,0,1,0,0.0
0,0.0163509828,50,0,0.002249719,10400.0,2,0,0,0,0.0
0,0.0799815396,50,0,0.012737263,5203.900000000001,3,0,0,0,0.0
0,0.07668008280000001,68,0,1.099866844,975.0,6,0,0,0,0.0
0,0.0005652491999999999,66,0,0.34280817,9100.0,12,0,1,0,1.0
0,0.0091497708,80,0,0.00182704,6402.5,4,0,0,0,0.0
0,0.23028080999999997,61,1,0.479850047,4160.0,17,0,2,0,0.0
0,0.2968838172,78,0,0.036491325,9439.300000000001,9,0,0,0,0.0
0,0.8417617379999999,45,0,0.533255844,10064.6,12,0,2,0,2.0
0,0.0,43,0,5.0,7020.0,7,0,2,0,0.0
0,0.1607789796,55,0,5.0,1.3,13,0,1,0,0.0
1,0.0883383468,34,0,0.336665334,3250.0,5,0,0,0,2.0
0,0.2652365928,47,0,0.267415518,13770.9,7,0,2,0,2.0
0,0.016873819199999997,76,0,0.003428327,12132.9,3,0,0,0,0.0
0,0.240184974,68,0,5.0,7020.0,16,0,1,0,0.0
0,0.1837496388,63,0,5.0,7020.0,16,0,1,0,0.0
0,1.19999988,81,0,0.116057,8847.800000000001,2,0,2,0,0.0
0,0.021084349199999998,89,0,5.0,0.0,8,0,0,0,0.0
0,0.056311276800000004,41,0,0.169197397,12584.0,7,0,1,0,0.0
1,1.19999988,47,0,5.0,7020.0,1,2,0,0,0.0
0,1.19999988,45,0,2.264779351,1560.0,3,0,2,0,2.0
0,0.043504862400000004,66,0,0.326099372,2275.0,6,0,1,0,0.0
0,0.0,65,0,0.007198081,4875.0,4,0,0,0,0.0
0,0.1780657548,37,0,0.262028384,11265.800000000001,8,0,2,0,0.0
0,0.8832306588,55,1,0.599115696,10583.300000000001,17,0,1,0,1.0
0,1.19999988,25,0,0.0,7020.0,0,0,0,0,0.0
0,0.7007555075999999,71,0,5.0,7020.0,14,0,1,0,0.0
0,1.19999988,22,0,0.0,1066.0,1,0,0,0,0.0
0,0.11515455,70,0,0.635910224,520.0,12,0,0,0,0.0
0,0.0068090376,63,0,0.255603351,5740.8,10,0,1,0,0.0
0,0.161836404,40,0,5.0,7020.0,9,0,2,0,0.0
0,0.4151169768,33,0,0.122250785,4550.0,2,0,0,0,1.0
0,0.1622918052,23,0,0.007308161,1066.0,2,0,0,0,0.0
0,1.0529554464,74,3,0.515810662,20020.0,12,0,1,0,0.0
0,0.00950067,78,0,5.0,7020.0,15,0,1,0,0.0
0,0.95585469,54,0,0.269958706,7554.3,6,0,0,0,2.0
0,0.0844247904,43,0,0.231085619,34450.0,4,0,1,0,3.0
0,0.0498307044,48,0,5.0,7020.0,6,0,0,0,0.0
0,0.014990307599999999,64,0,0.096503257,7582.900000000001,8,0,1,0,3.0
0,0.0934685064,39,2,0.288981289,5626.400000000001,12,0,1,0,2.0
0,0.2172845676,71,0,0.129519353,6111.3,4,0,0,0,0.0
0,0.0028363116,94,0,0.00044603,8742.5,6,0,0,0,0.0
0,0.0093696492,52,1,0.332875907,6630.0,5,0,2,0,3.0
0,0.2880322248,31,0,0.057029927,4603.3,9,0,0,0,0.0
0,0.0021332388,84,0,0.001999334,3900.0,5,0,0,0,0.0
0,0.0215153052,69,0,0.159284072,13000.0,13,0,1,0,0.0
0,0.006244261199999999,48,0,0.424842226,4530.5,11,0,1,0,0.0
0,0.17867161439999998,64,0,0.213464863,12781.6,8,0,1,0,0.0
0,0.0894714612,43,0,0.582178756,14354.6,16,0,4,0,3.0
0,0.076228194,81,1,0.220496894,9207.9,9,0,1,0,0.0
0,0.69050949,30,0,0.00339932,6500.0,1,0,0,0,1.0
0,0.5796407184,32,1,0.253553416,2834.0,3,0,0,1,0.0
0,0.011999294399999999,44,0,5.0,7020.0,4,0,0,0,0.0
0,0.022016874,41,0,5.0,7020.0,5,0,1,0,0.0
0,0.8853157344,37,0,0.232691827,5200.0,6,0,0,0,0.0
0,0.0,73,0,0.470695139,2860.0,6,0,1,0,0.0
0,0.0679735836,36,0,0.144376373,11245.0,7,0,1,0,2.0
0,0.0004877952,72,0,0.179954442,5135.0,7,0,0,0,1.0
0,0.7131373728,59,0,0.115088491,13000.0,4,5,0,0,1.0
0,0.24500817239999997,63,0,5.0,7020.0,12,0,1,0,0.0
0,0.1292360784,40,0,0.208106067,15490.800000000001,8,0,2,0,1.0
0,0.2411359296,54,1,0.508915181,7800.0,17,0,1,2,1.0
0,1.19999988,26,0,0.361673414,962.0,1,0,0,0,0.0
0,0.2583753924,61,0,0.227538623,26000.0,8,0,1,0,0.0
0,0.0186196344,69,0,0.305330728,4656.6,6,0,1,0,0.0
0,0.7082820396,51,0,0.492312569,8200.4,13,0,2,0,0.0
0,0.0,34,0,0.197355534,5307.900000000001,6,0,0,0,0.0
1,0.4629485784,52,0,0.749711649,3380.0,11,0,1,0,1.0
0,0.0032453004,59,0,5.0,7020.0,6,0,0,0,0.0
0,0.0010745472,36,0,0.079984003,6500.0,4,0,0,0,1.0
0,1.0886650956,32,1,0.123559367,9699.300000000001,5,0,0,0,0.0
0,1.19999988,26,0,0.086956522,2600.0,2,0,0,1,0.0
0,0.018799738799999997,56,0,0.076165214,10290.800000000001,11,0,0,0,0.0
0,0.3303894792,73,0,0.799640072,6500.0,9,0,1,0,0.0
0,0.1568989392,29,0,5.0,7020.0,3,0,0,0,0.0
0,0.74921313,42,0,0.408176869,11700.0,12,0,2,0,3.0
0,0.7062774888,41,0,0.122914838,8882.9,7,0,0,0,1.0
0,0.05412024,35,0,0.548762737,11609.0,11,0,6,0,0.0
0,1.3546279488,65,0,5.0,7020.0,4,1,0,0,0.0
0,0.0012880991999999999,73,0,1.0,7020.0,6,0,0,0,0.0
0,0.2506331268,44,0,5.0,0.0,8,0,1,0,0.0
0,0.44327988840000004,37,0,0.161994374,13400.4,12,0,0,0,2.0
0,0.1384961004,64,0,0.361054306,5720.0,10,0,1,0,1.0
0,0.4309951572,24,0,0.108648414,2990.0,3,0,0,0,0.0
0,0.298140282,30,0,0.201813532,5590.0,15,0,0,0,0.0
0,0.011759529599999999,42,0,0.221435968,7530.900000000001,5,0,1,0,0.0
0,0.0015999659999999998,52,0,1.0,7020.0,5,0,0,0,0.0
0,0.33802484159999996,54,0,0.55675546,10832.9,17,0,2,0,0.0
0,0.37574950079999997,40,0,0.005197921,3250.0,3,0,0,0,0.0
0,1.19999988,33,0,0.823431427,2340.0,7,0,1,0,2.0
0,0.0879653772,55,0,0.208026399,39000.0,13,0,2,0,1.0
1,1.092489876,56,3,0.180930842,10920.0,11,0,0,0,1.0
0,0.28292388479999997,57,0,0.38999168,10935.6,11,0,2,0,0.0
0,0.0058228548,73,0,0.289880689,2940.6,11,0,1,0,0.0
1,0.7038782699999999,45,0,0.540204983,15600.0,11,0,2,0,0.0
1,0.0542602272,54,0,5.0,0.0,2,0,0,0,0.0
0,0.359097,44,0,1.163585555,6046.3,10,0,3,0,2.0
0,0.3964534992,54,0,0.341732283,31367.7,18,0,3,0,1.0
0,0.18321656760000002,66,0,0.879986739,11762.4,10,0,5,0,0.0
0,0.0,57,0,0.031855091,2080.0,4,0,0,0,1.0
0,0.0,50,0,0.187656931,9835.800000000001,5,0,1,0,1.0
0,0.4757738196,27,0,0.181049069,8450.0,10,0,0,0,0.0
0,0.22807387559999998,42,0,0.26234753,6500.0,10,0,1,0,1.0
0,1.1943536328,55,0,2.428914217,4332.900000000001,13,0,1,0,0.0
0,0.3100608396,54,0,0.93907479,9750.0,19,0,4,0,4.0
0,0.721845738,48,0,5.0,7020.0,16,0,0,0,0.0
0,0.1895880336,44,0,0.031582882,6955.0,2,0,0,0,0.0
0,0.10772530079999999,33,0,0.456474031,5330.0,7,0,1,0,0.0
1,0.0,82,5,5.0,7020.0,5,1,1,1,0.0
0,0.09803673239999999,66,0,5.0,7020.0,6,0,1,0,0.0
0,0.45891209639999997,64,0,0.76426489,3120.0,8,0,2,0,0.0
0,0.0350385984,54,0,0.403598972,4550.0,4,0,1,0,0.0
0,0.0031089492,64,0,1.0,0.0,5,0,0,0,0.0
0,0.0759175956,57,0,0.154278576,2080.0,13,0,0,0,1.0
0,0.4734439224,34,0,0.488870152,7707.7,9,0,2,0,0.0
0,0.0423499848,54,1,1.610968295,1515.8,25,0,3,0,0.0
0,0.6002999868,33,0,0.14738304,14976.0,10,0,0,0,2.0
0,0.4323667056,59,0,0.081274104,9100.0,6,0,0,0,0.0
0,0.39587233079999995,54,0,0.558800316,3292.9,4,0,1,0,3.0
1,1.1280148427999999,56,2,0.239510975,4677.400000000001,5,0,0,2,0.0
0,0.08094496799999999,76,0,5.0,7790.900000000001,16,0,0,0,1.0
0,0.31528423559999996,53,0,0.612797516,7536.1,6,0,1,0,0.0
0,0.015537269999999999,53,0,0.30743509,6607.900000000001,11,0,2,0,2.0
0,0.2461435908,36,0,0.102209328,5824.0,11,0,0,0,0.0
0,0.0,52,0,0.0,10400.0,3,0,0,0,0.0
0,0.016838165999999998,89,0,0.006542526,2581.8,5,0,0,0,0.0
1,0.14422399319999998,74,1,0.079684764,2967.9,3,2,0,0,1.0
0,0.049975275599999994,67,0,0.0059985,5200.0,13,0,0,0,0.0
0,0.0086997828,74,0,0.145618127,3900.0,5,0,0,0,0.0
0,0.0,51,2,0.481931112,9207.9,9,0,2,0,2.0
